k,eps,Option1,Option2,D_0,Lambdamin,Lambdamax,Increasing,RBDeval,ETol,ps,Elapsed Time
1.06,0.15,1,2,0.7,1.00859375,1.009375,1,-0.000254979,0.001,0.1,19.6740275
1.06,0.2,1,2,0.7,1.00546875,1.00625,1,0.000253753,0.001,0.1,11.6563765
1.06,0.25,1,2,0.7,1.003125,1.00390625,1,-7.05E-05,0.001,0.1,11.549439
1.06,0.3,1,2,0.7,1.00078125,1.0015625,1,-0.000359759,0.001,0.1,12.2999939
1.06,0.35,1,2,0.7,0.99765625,0.9984375,1,0.000196425,0.001,0.1,10.5456527
1.06,0.4,1,2,0.7,0.9953125,0.99609375,1,-9.34E-05,0.001,0.1,10.6982656
1.06,0.45,1,2,0.7,0.99296875,0.99375,1,-0.000334999,0.001,0.1,11.0072537
1.06,0.5,1,2,0.7,0.98984375,0.990625,1,0.000268649,0.001,0.1,12.4517721
1.06,0.55,1,2,0.7,0.9875,0.98828125,1,1.33E-05,0.001,0.1,11.1220407
1.06,0.6,1,2,0.7,0.98515625,0.9859375,1,-0.000180671,0.001,0.1,12.027153
1.06,0.65,1,2,0.7,0.9828125,0.98359375,1,-0.000414473,0.001,0.1,11.0399707
1.06,0.7,1,2,0.7,0.9796875,0.98046875,1,0.000249565,0.001,0.1,11.3961505
1.06,0.75,1,2,0.7,0.97734375,0.978125,1,0.000103255,0.001,0.1,11.1633831
1.06,0.8,1,2,0.7,0.975,0.97578125,1,-9.61E-05,0.001,0.1,11.4720244
1.06,0.85,1,2,0.7,0.97265625,0.9734375,1,-0.000212042,0.001,0.1,11.2871838
1.06,0.9,1,2,0.7,0.9703125,0.97109375,1,-0.000389831,0.001,0.1,11.7255341
1.06,0.95,1,2,0.7,0.9671875,0.96796875,1,0.000351938,0.001,0.1,11.5630574
1.06,1,1,2,0.7,0.96484375,0.965625,1,0.000283661,0.001,0.1,10.7301371
1.08,0.005,1,2,0.7,1.02109375,1.021875,1,3.72E-05,0.001,0.1,11.6476741
1.08,0.01,1,2,0.7,1.02109375,1.021875,1,-0.000339231,0.001,0.1,11.3955022
1.08,0.03,1,2,0.7,1.01953125,1.0203125,1,-0.000152821,0.001,0.1,11.2631475
1.08,0.05,1,2,0.7,1.01796875,1.01875,1,3.81E-05,0.001,0.1,11.5507737
1.08,0.075,1,2,0.7,1.01640625,1.0171875,1,-0.000141304,0.001,0.1,11.4477845
1.08,0.1,1,2,0.7,1.01484375,1.015625,1,-0.000315057,0.001,0.1,11.0444516
1.08,0.15,1,2,0.7,1.0109375,1.01171875,1,0.000198445,0.001,0.1,11.2202473
1.08,0.2,1,2,0.7,1.0078125,1.00859375,1,-0.000109786,0.001,0.1,11.4233382
1.08,0.25,1,2,0.7,1.0046875,1.00546875,1,-0.000395508,0.001,0.1,12.1800191
1.08,0.3,1,2,0.7,1.00078125,1.0015625,1,0.00021966,0.001,0.1,12.7080955
1.08,0.35,1,2,0.7,0.99765625,0.9984375,1,-1.54E-05,0.001,0.1,10.942448
1.08,0.4,1,2,0.7,0.99453125,0.9953125,1,-0.000227911,0.001,0.1,13.0579829
1.08,0.45,1,2,0.7,0.99140625,0.9921875,1,-0.00041792,0.001,0.1,11.9234027
1.08,0.5,1,2,0.7,0.9875,0.98828125,1,0.000257977,0.001,0.1,10.6243815
1.08,0.55,1,2,0.7,0.984375,0.98515625,1,0.000112907,0.001,0.1,11.0156982
1.08,0.6,1,2,0.7,0.98125,0.98203125,1,-9.64E-06,0.001,0.1,11.253359
1.08,0.65,1,2,0.7,0.978125,0.97890625,1,-0.000109657,0.001,0.1,10.8765048
1.08,0.7,1,2,0.7,0.975,0.97578125,1,-0.000187146,0.001,0.1,10.8983422
1.08,0.75,1,2,0.7,0.971875,0.97265625,1,-0.000242102,0.001,0.1,11.6212874
1.08,0.8,1,2,0.7,0.96875,0.96953125,1,-0.000274523,0.001,0.1,11.1838357
1.08,0.85,1,2,0.7,0.965625,0.96640625,1,-0.000284407,0.001,0.1,10.8929928
1.08,0.9,1,2,0.7,0.9625,0.96328125,1,-0.000271751,0.001,0.1,11.3776611
1.08,0.95,1,2,0.7,0.959375,0.96015625,1,-0.000236553,0.001,0.1,11.3436184
1.08,1,1,2,0.7,0.95625,0.95703125,1,-0.00017881,0.001,0.1,11.6685515
1.1,0.005,1,2,0.7,1.02578125,1.0265625,1,0.000148909,0.001,0.1,21.2933219
1.1,0.01,1,2,0.7,1.02578125,1.0265625,1,-0.000315677,0.001,0.1,15.5936821
1.1,0.03,1,2,0.7,1.0234375,1.02421875,1,0.000411399,0.001,0.1,12.5406822
1.1,0.05,1,2,0.7,1.021875,1.02265625,1,0.000283533,0.001,0.1,13.0375595
1.1,0.075,1,2,0.7,1.0203125,1.02109375,1,-0.000301337,0.001,0.1,11.5524735
1.1,0.1,1,2,0.7,1.01796875,1.01875,1,-5.02E-06,0.001,0.1,11.2823871
1.1,0.15,1,2,0.7,1.0140625,1.01484375,1,-0.000273372,0.001,0.1,11.5359771
1.1,0.2,1,2,0.7,1.009375,1.01015625,1,0.000373664,0.001,0.1,14.208078
1.1,0.25,1,2,0.7,1.00546875,1.00625,1,0.000202168,0.001,0.1,11.776101
1.1,0.3,1,2,0.7,1.0015625,1.00234375,1,2.96E-05,0.001,0.1,12.7253295
1.1,0.35,1,2,0.7,0.99765625,0.9984375,1,-6.60E-05,0.001,0.1,11.4595883
1.1,0.4,1,2,0.7,0.99375,0.99453125,1,-0.000176902,0.001,0.1,11.579894
1.1,0.45,1,2,0.7,0.98984375,0.990625,1,-0.000196745,0.001,0.1,12.7896658
1.1,0.5,1,2,0.7,0.9859375,0.98671875,1,-0.000245923,0.001,0.1,11.6999189
1.1,0.55,1,2,0.7,0.98203125,0.9828125,1,-0.000189904,0.001,0.1,12.0221016
1.1,0.6,1,2,0.7,0.978125,0.97890625,1,-0.000177377,0.001,0.1,11.9379623
1.1,0.65,1,2,0.7,0.97421875,0.975,1,-4.55E-05,0.001,0.1,12.2520587
1.1,0.7,1,2,0.7,0.9703125,0.97109375,1,2.88E-05,0.001,0.1,12.1256211
1.1,0.75,1,2,0.7,0.96640625,0.9671875,1,0.000236608,0.001,0.1,11.680802
1.1,0.8,1,2,0.7,0.9625,0.96328125,1,0.000372614,0.001,0.1,12.2109037
1.1,0.85,1,2,0.7,0.959375,0.96015625,1,-0.00032183,0.001,0.1,12.3504189
1.1,0.9,1,2,0.7,0.95546875,0.95625,1,-3.49E-06,0.001,0.1,11.6980023
1.1,0.95,1,2,0.7,0.9515625,0.95234375,1,0.000221793,0.001,0.1,12.7248678
1.1,1,1,2,0.7,0.9484375,0.94921875,1,-0.000382926,0.001,0.1,17.0570466
1.12,0.005,1,2,0.7,1.03046875,1.03125,1,2.83E-05,0.001,0.1,13.0415977
1.12,0.01,1,2,0.7,1.0296875,1.03046875,1,0.000354133,0.001,0.1,13.371216
1.12,0.03,1,2,0.7,1.028125,1.02890625,1,-9.07E-05,0.001,0.1,12.7064715
1.12,0.05,1,2,0.7,1.02578125,1.0265625,1,0.000355671,0.001,0.1,12.5475515
1.12,0.075,1,2,0.7,1.0234375,1.02421875,1,0.000255885,0.001,0.1,12.2184884
1.12,0.1,1,2,0.7,1.02109375,1.021875,1,0.000180708,0.001,0.1,12.2991283
1.12,0.15,1,2,0.7,1.01640625,1.0171875,1,5.41E-05,0.001,0.1,13.6195332
1.12,0.2,1,2,0.7,1.01171875,1.0125,1,-2.42E-05,0.001,0.1,13.1653518
1.12,0.25,1,2,0.7,1.00703125,1.0078125,1,-5.41E-05,0.001,0.1,13.8399782
1.12,0.3,1,2,0.7,1.00234375,1.003125,1,-3.57E-05,0.001,0.1,12.2400797
1.12,0.35,1,2,0.7,0.99765625,0.9984375,1,3.12E-05,0.001,0.1,11.3587356
1.12,0.4,1,2,0.7,0.99296875,0.99375,1,0.000146413,0.001,0.1,11.3823861
1.12,0.45,1,2,0.7,0.98828125,0.9890625,1,0.000310052,0.001,0.1,12.3790723
1.12,0.5,1,2,0.7,0.984375,0.98515625,1,-0.00043575,0.001,0.1,16.2195814
1.12,0.55,1,2,0.7,0.9796875,0.98046875,1,-0.00018341,0.001,0.1,17.9092672
1.12,0.6,1,2,0.7,0.975,0.97578125,1,0.000117371,0.001,0.1,12.3435097
1.12,0.65,1,2,0.7,0.97109375,0.971875,1,-0.000407056,0.001,0.1,11.3156607
1.12,0.7,1,2,0.7,0.96640625,0.9671875,1,-9.15E-06,0.001,0.1,12.0739781
1.12,0.75,1,2,0.7,0.96171875,0.9625,1,0.000437243,0.001,0.1,12.3830687
1.12,0.8,1,2,0.7,0.9578125,0.95859375,1,-7.47E-05,0.001,0.1,14.8248118
1.12,0.85,1,2,0.7,0.95390625,0.9546875,1,-0.000412295,0.001,0.1,19.3899838
1.12,0.9,1,2,0.7,0.94921875,0.95,1,0.000171639,0.001,0.1,32.6576632
1.12,0.95,1,2,0.7,0.9453125,0.94609375,1,-0.000227202,0.001,0.1,16.2014084
1.12,1,1,2,0.7,0.94140625,0.9421875,1,-0.000426617,0.001,0.1,12.2968258
